xe   ye   ze  theta_0   theta_1   theta_2   theta_3
12 10 14 0.862170 1.612612 1.246170 0.000000 
12 10 16 0.927295 1.497437 1.363387 0.000000 
12 10 18 0.982794 1.379684 1.498537 0.000000 
12 10 20 1.030377 1.258171 1.653756 0.000000 
12 12 20 1.030377 1.280905 1.785681 0.000000 
12 12 18 0.982794 1.406871 1.629003 0.000000 
12 12 16 0.927295 1.527169 1.495169 0.000000 
12 12 14 0.862170 1.643066 1.381076 0.000000 
12 12 12 0.785398 1.754376 1.285187 0.000000 
12 12 10 0.694738 1.859534 1.206695 0.000000 
12 12 8 0.588003 1.955574 1.144975 0.000000 
12 12 6 0.463648 2.038266 1.099198 0.000000 
12 12 4 0.321751 2.102590 1.068156 0.000000 
12 12 2 0.165149 2.143638 1.050386 0.000000 
12 12 0 0.000000 2.157771 1.044630 0.000000 
12 14 0 0.000000 2.135712 1.215201 0.000000 
12 14 2 0.165149 2.122921 1.220515 0.000000 
12 14 4 0.321751 2.085589 1.236963 0.000000 
12 14 6 0.463648 2.026538 1.265856 0.000000 
12 14 8 0.588003 1.949612 1.308815 0.000000 
12 14 10 0.694738 1.858822 1.367360 0.000000 
12 14 12 0.785398 1.757645 1.442779 0.000000 
12 14 14 0.862170 1.648594 1.536279 0.000000 
12 14 16 0.927295 1.532980 1.649396 0.000000 
12 14 18 0.982794 1.410750 1.784671 0.000000 
12 14 20 1.030377 1.280099 1.946910 0.000000 
12 16 20 1.030377 1.251666 2.147289 0.000000 
12 16 18 0.982794 1.389579 1.971456 0.000000 
12 16 16 0.927295 1.514700 1.829985 0.000000 
12 16 14 0.862170 1.630346 1.714558 0.000000 
12 16 12 0.785398 1.737290 1.620927 0.000000 
12 16 10 0.694738 1.834750 1.546536 0.000000 
12 16 8 0.588003 1.920806 1.489489 0.000000 
12 16 6 0.463648 1.992716 1.448030 0.000000 
12 16 4 0.321751 2.047314 1.420340 0.000000 
12 16 2 0.165149 2.081570 1.404648 0.000000 
12 16 0 0.000000 2.093262 1.399591 0.000000 
12 18 0 0.000000 2.032424 1.601912 0.000000 
12 18 2 0.165149 2.021598 1.606901 0.000000 
12 18 4 0.321751 1.989772 1.622412 0.000000 
12 18 6 0.463648 1.938699 1.649902 0.000000 
12 18 8 0.588003 1.870744 1.691352 0.000000 
12 18 10 0.694738 1.788330 1.748961 0.000000 
12 18 12 0.785398 1.693452 1.825121 0.000000 
12 18 14 0.862170 1.587250 1.922768 0.000000 
12 18 16 0.927295 1.469510 2.046290 0.000000 
12 18 18 0.982794 1.337653 2.203723 0.000000 
12 18 20 1.030377 1.183498 2.413685 0.000000 
12 20 20 1.030377 1.000781 2.903346 0.000000 
12 20 18 0.982794 1.234486 2.526452 0.000000 
12 20 16 0.927295 1.387222 2.322608 0.000000 
12 20 14 0.862170 1.513312 2.177222 0.000000 
12 20 12 0.785398 1.622344 2.067780 0.000000 
