xe   ye   ze theta_0   theta_1   theta_2   theta_3
12 10 14 49.398705 92.395866 71.400269 0.000000 
12 10 16 53.130104 85.796791 78.116295 0.000000 
12 10 18 56.309933 79.050087 85.859840 0.000000 
12 10 20 59.036243 72.087906 94.753220 0.000000 
12 12 20 59.036243 73.390434 102.311981 0.000000 
12 12 18 56.309933 80.607773 93.334999 0.000000 
12 12 16 53.130104 87.500343 85.666855 0.000000 
12 12 14 49.398705 94.140755 79.129814 0.000000 
12 12 12 45.000000 100.518349 73.635803 0.000000 
12 12 10 39.805573 106.543442 69.138535 0.000000 
12 12 8 33.690067 112.046143 65.602211 0.000000 
12 12 6 26.565052 116.784027 62.979435 0.000000 
12 12 4 18.434948 120.469513 61.200840 0.000000 
12 12 2 9.462322 122.821388 60.182663 0.000000 
12 12 0 0.000000 123.631149 59.852875 0.000000 
12 14 0 0.000000 122.367294 69.625908 0.000000 
12 14 2 9.462322 121.634399 69.930336 0.000000 
12 14 4 18.434948 119.495445 70.872772 0.000000 
12 14 6 26.565052 116.112053 72.528206 0.000000 
12 14 8 33.690067 111.704552 74.989548 0.000000 
12 14 10 39.805573 106.502647 78.343987 0.000000 
12 14 12 45.000000 100.705673 82.665161 0.000000 
12 14 14 49.398705 94.457458 88.022308 0.000000 
12 14 16 53.130104 87.833305 94.503410 0.000000 
12 14 18 56.309933 80.830025 102.254120 0.000000 
12 14 20 59.036243 73.344254 111.549736 0.000000 
12 16 20 59.036243 71.715195 123.030571 0.000000 
12 16 18 56.309933 79.616997 112.956100 0.000000 
12 16 16 53.130104 86.785904 104.850410 0.000000 
12 16 14 49.398705 93.411972 98.236961 0.000000 
12 16 12 45.000000 99.539383 92.872299 0.000000 
12 16 10 39.805573 105.123413 88.610001 0.000000 
12 16 8 33.690067 110.054085 85.341454 0.000000 
12 16 6 26.565052 114.174232 82.965996 0.000000 
12 16 4 18.434948 117.302452 81.379509 0.000000 
12 16 2 9.462322 119.265160 80.480415 0.000000 
12 16 0 0.000000 119.935074 80.190643 0.000000 
12 18 0 0.000000 116.449303 91.782822 0.000000 
12 18 2 9.462322 115.829056 92.068642 0.000000 
12 18 4 18.434948 114.005562 92.957336 0.000000 
12 18 6 26.565052 111.079262 94.532417 0.000000 
